"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
11,3,"Pass exams                                                                                                                                                                                                                                                                                                  ","13.235","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
1,3,"Depression                                                                                                                                                                                                                                                                                                  ","6.992","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
31,3,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","14.015","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
22,3,"Drinking parents->underaged drinking -> gambling                                                                                                                                                                                                                                                            ","15.409","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
2,3,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","25.277","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
36,3,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","26.664","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
21,3,"Gambling                                                                                                                                                                                                                                                                                                    ","11.265","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
8,3,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","17.639","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
5,3,"Successful Debates                                                                                                                                                                                                                                                                                          ","10.629","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
34,3,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","45.834","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
26,3,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","25.276","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
18,3,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","22.616","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
29,3,"Early age drinking                                                                                                                                                                                                                                                                                          ","58.202","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
32,3,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","44.895","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
6,3,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","15.592","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
13,3,"Poor performance                                                                                                                                                                                                                                                                                            ","26.496","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
25,3,"Obesity                                                                                                                                                                                                                                                                                                     ","6.483","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
28,3,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","32.806","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
14,4,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","0.56","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
30,4,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","0.672","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
17,4,"Sports avoidance                                                                                                                                                                                                                                                                                            ","0.687","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
31,4,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","0.52","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
33,4,"Gym buddy                                                                                                                                                                                                                                                                                                   ","0.568","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
7,4,"Childhood issues                                                                                                                                                                                                                                                                                            ","0.672","no                            ","matrix                        ","small                         ","alpha                         ","drinking                      "
12,4,"Good argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                               ","0.798","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
16,4,"Childhood issues -> obesity -> binge eating                                                                                                                                                                                                                                                                 ","292.141","no                            ","node-linked                   ","medium                        ","organic                       ","drinking                      "
9,4,"Better social life                                                                                                                                                                                                                                                                                          ","8.655","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
8,4,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","13.117","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
24,4,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","41.583","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
5,4,"Successful Debates                                                                                                                                                                                                                                                                                          ","38.459","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
1,4,"Depression                                                                                                                                                                                                                                                                                                  ","7.904","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
22,4,"Drinking parents->underaged drinking -> gambling                                                                                                                                                                                                                                                            ","19.631","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
36,4,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","79.047","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
2,4,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","29.959","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
15,4,"Low salary                                                                                                                                                                                                                                                                                                  ","12.303","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
18,4,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","31.079","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
23,4,"Health issues                                                                                                                                                                                                                                                                                               ","20.359","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
35,4,"Low salary                                                                                                                                                                                                                                                                                                  ","11.936","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
13,4,"Poor performance                                                                                                                                                                                                                                                                                            ","14.566","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
26,4,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","88.095","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
20,4,"Meditation -> relaxed self -> pass exams                                                                                                                                                                                                                                                                    ","46.201","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
4,4,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","18.255","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
19,4,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","20.398","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
34,4,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","78.134","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
21,4,"Gambling                                                                                                                                                                                                                                                                                                    ","16.161","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
27,4,"Pass exams                                                                                                                                                                                                                                                                                                  ","8.463","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
6,4,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","12.919","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
29,4,"Early age drinking                                                                                                                                                                                                                                                                                          ","19.896","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
28,4,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","83.71","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
32,4,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","124.959","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
3,4,"More friends                                                                                                                                                                                                                                                                                                ","18.768","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
25,4,"Obesity                                                                                                                                                                                                                                                                                                     ","32.031","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
11,4,"Pass exams                                                                                                                                                                                                                                                                                                  ","10.488","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
10,4,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","50.846","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
