"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
23,36,"Obesity                                                                                                                                                                                                                                                                                                     ","61.141","no                            ","matrix                        ","medium                        ","inDD                          ","gym                           "
16,36,"Gambling -> depression -> obesity                                                                                                                                                                                                                                                                           ","59.444","no                            ","node-linked                   ","medium                        ","organic                       ","drinking                      "
15,36,"Childhood issues                                                                                                                                                                                                                                                                                            ","56.716","no                            ","node-linked                   ","medium                        ","organic                       ","drinking                      "
31,36,"Health issues                                                                                                                                                                                                                                                                                               ","55.924","no                            ","matrix                        ","large                         ","alpha                         ","gym                           "
12,36,"Studying in the library -> pass exams -> critical thinking                                                                                                                                                                                                                                                  ","54.588","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
8,36,"Drinking friends -> childhood issues -> behavioural issues                                                                                                                                                                                                                                                  ","50.788","no                            ","matrix                        ","small                         ","alpha                         ","drinking                      "
29,36,"Negativity                                                                                                                                                                                                                                                                                                  ","49.444","no                            ","node-linked                   ","large                         ","parallel                      ","drinking                      "
7,36,"Behavioural issues                                                                                                                                                                                                                                                                                          ","48.3","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
9,36,"Team activities                                                                                                                                                                                                                                                                                             ","46.789","no                            ","matrix                        ","small                         ","outDD                         ","gym                           "
22,36,"Sedentary lifestyle -> alcoholism -> obesity                                                                                                                                                                                                                                                                ","45.661","no                            ","matrix                        ","medium                        ","outDD                         ","drinking                      "
25,36,"Doing sports                                                                                                                                                                                                                                                                                                ","44.766","no                            ","node-linked                   ","large                         ","hier                          ","gym                           "
30,36,"Behavioural issues -> poor education -> regular drinking                                                                                                                                                                                                                                                    ","43.702","no                            ","node-linked                   ","large                         ","parallel                      ","drinking                      "
6,36,"Critical thinking -> Successful debates -> Good argumentation                                                                                                                                                                                                                                               ","42.605","no                            ","node-linked                   ","small                         ","parallel                      ","student                       "
20,36,"Confidence -> high grades during terms -> regular drinking                                                                                                                                                                                                                                                  ","40.518","no                            ","matrix                        ","medium                        ","alpha                         ","student                       "
33,36,"Being fit                                                                                                                                                                                                                                                                                                   ","38.526","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
27,36,"Pass exams                                                                                                                                                                                                                                                                                                  ","37.453","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
11,36,"Critical thinking                                                                                                                                                                                                                                                                                           ","35.862","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
26,36,"Obesity -> inability to focus -> large gym                                                                                                                                                                                                                                                                  ","34.742","no                            ","node-linked                   ","large                         ","hier                          ","gym                           "
5,36,"Independent work                                                                                                                                                                                                                                                                                            ","33.31","no                            ","node-linked                   ","small                         ","parallel                      ","student                       "
28,36,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","32.15","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
34,36,"Evident results -> pleasant gym time -> pain                                                                                                                                                                                                                                                                ","30.367","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
13,36,"Good Planning                                                                                                                                                                                                                                                                                               ","29.238","no                            ","node-linked                   ","medium                        ","hier                          ","student                       "
