question_id,participant_id,time,correct,type,size,layout,domain_question
27,16,17.01,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
21,16,10.372,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
5,16,14.086,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
20,16,17.783,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
35,16,13.447,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
22,16,63.991,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
28,16,56.775,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
7,16,24.91,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
30,16,92.475,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
29,16,54.98,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
33,16,20.587,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
4,16,34.655,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
26,16,30.991,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
12,16,85.311,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
11,16,18.648,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
18,17,22.716,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
34,17,24.895,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
21,17,11.723,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
35,17,13.013,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
1,17,9.734,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
11,17,12.285,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
16,17,39.818,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
20,17,16.649,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
13,17,12.483,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
12,17,43.376,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
28,17,37.528,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
9,17,6.967,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
5,17,9.441,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
26,17,19.424,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
4,17,18.57,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
6,17,20.268,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
19,17,25.071,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
22,17,8.52,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
27,17,14.84,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
